,brand,name,core,price,score,rank
0,Intel,Pentium G4400,【2核/2緒】,2580,3555,1069
2,Intel,Celeron G3930,【2核/2緒】,1650,3041,1218
3,Intel,Pentium G4560,【2核/4緒】,2250,4871,800
5,Intel,i3-7100,【2核/4緒】,3990,5780,655
6,Intel,i3-7350K,【2核/4緒】,5200,6623,576
7,Intel,i5-7400,【4核/4緒】,6200,7344,504
9,Intel,i7-7700,【4核/8緒】,9999,10742,234
10,Intel,i7-7700K,【4核/8緒】,10800,12038,198
11,Intel,Celeron G4900,【2核/2緒】,1190,3284,1139
12,Intel,Celeron G4920,【2核/2緒】,1650,3302,1135
13,Intel,Pentium G5400,【2核/4緒】,1850,5185,739
14,Intel,Pentium G5500,【2核/4緒】,2580,5241,730
15,Intel,Pentium G5600,【2核/4緒】,3188,5696,667
16,Intel,i3-8100,【4核/4緒】,3550,8071,434
18,Intel,i3-8300,【4核/4緒】,4850,8680,394
19,Intel,i3-8350K,【4核/4緒】,5300,9244,342
21,Intel,i5-8400,【6核/6緒】,6550,11656,206
24,Intel,i5-8500,【6核/6緒】,7100,11899,203
26,Intel,i5-8600,【6核/6緒】,7450,12631,183
27,Intel,i7-8700,【6核/12緒】,11300,15139,121
30,Intel,i7-8700K,【6核/12緒】,12200,15956,101
32,Intel,i7-8086K,【6核/12緒】,13800,16668,82
33,Intel,i5-9600K,【6核/6緒】,8288,13457,165
35,Intel,i7-9700K,【8核/8緒】,13800,17348,73
36,Intel,i9-9900K,【8核/16緒】,15300,20174,40
38,Intel,Xeon E3-1220 V5,【4核/4緒】,6400,7740,467
39,Intel,Xeon E5-2620 V4,【8核/16緒】,13300,11364,210
40,Intel,Xeon E5-2630 V4,【10核/20緒】,21200,13884,150
41,Intel,i5-7640X,【4核/4緒】,6800,9598,310
42,Intel,i7-7740X,【4核/8緒】,9700,12266,190
43,Intel,i7-9800X,【8核/16緒】,18800,20283,38
44,Intel,i9-9820X,【10核/20緒】,27500,22508,21
45,Intel,i9-9900X,【10核/20緒】,31500,N/A,N/A
46,Intel,i9-9940X,【14核/28緒】,43500,28121,3
47,Intel,i9-9980XE,【18核/36緒】,61800,30805,1
48,AMD,A6-9500,【2核/6 GPU】,1299,2996,1231
49,AMD,A8-9600,【4核/6 GPU】,1699,5005,777
50,AMD,Athlon 200GE,【2核/4緒】,2099,4943,789
51,AMD,R7 1700X,【8核/16緒】,8990,14681,128
52,AMD,R3 2200G,【4核/4緒】,3229,7327,506
53,AMD,R5 2400G,【4核8緒】,5199,9293,339
54,AMD,R5 2600,【6核/12緒】,6399,13536,163
55,AMD,R5 2600X,【6核/12緒】,7499,14343,138
56,AMD,R7 2700,【8核/16緒】,10199,14998,124
57,AMD,R7 2700X,【8核/16緒】,10999,16969,78
58,AMD,Ryzen TR 1900X,【8核/16緒】,9900,15938,103
59,AMD,Ryzen TR 1920X,【12核/24緒】,13299,18987,55
60,AMD,Ryzen TR2 2920X,【12核/24緒】,20699,20660,37
61,AMD,Ryzen TR2 2950X,【16核/32緒】,28999,26038,8
62,AMD,Ryzen TR2 2970WX,【24核/48緒】,41999,18726,57
63,AMD,Ryzen TR2 2990WX,【32核/64緒】,57999,24172,15
